GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,112,2,11,1,24,2,9,0,4
parking-system,com.parkit.parkingsystem.service,ParkingService,42,277,7,10,13,72,7,10,0,8
parking-system,com.parkit.parkingsystem.service,InteractiveShell,10,62,2,6,5,23,3,6,1,3
parking-system,com.parkit.parkingsystem,App,25,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,43,26,8,0,11,11,10,5,6,5
parking-system,com.parkit.parkingsystem.model,Ticket,0,59,0,0,0,25,0,17,0,17
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,42,12,4,0,14,3,4,2,2,2
parking-system,com.parkit.parkingsystem.dao,TicketDAO,24,208,2,2,2,51,2,6,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,120,55,5,1,30,18,5,4,2,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,53,7,6,0,24,2,7,2,4,2
